date,item_title,item_price,item_oldprice,item_site,item_link
03/24/20 14:00,"Men''s adidas Pro Bounce, 3-Stripe Essential or Run-It Shorts",$10.50,$30,adidas,www.slickdeals.net/f/13935902-adidas-men-s-pro-bounce-basketball-shorts-10-50-3-stripe-essentials-shorts-10-50-more-free-shipping?src=frontpage
03/24/20 14:00,Peter Thomas Roth: Clinical Skin Care Kits + 15% Off Coupon,From $6,$25,Peter Thomas Roth Labs,www.slickdeals.net/f/13935290-peter-thomas-roth-clinical-skin-care-kits-15-off-coupon-from-6-free-s-h?src=frontpage
03/24/20 14:00,"Wendy''s: Make any Purchase, Get Breakfast Baconator or Dave''s Single & More",Free,,Wendy's,www.slickdeals.net/f/13935410-wendy-s-make-any-purchase-get-breakfast-baconator-or-dave-s-single-more-free-via-mobile-order-app-req-d?src=frontpage
03/24/20 14:00,Paw Patrol Ultimate Rescue Fire Truck w/ Extendable 2' Ladder,$22.50,$60,Target,www.slickdeals.net/f/13932383-paw-patrol-ultimate-rescue-fire-truck-with-extendable-2-tall-ladder-22-50-or-less-at-target-free-store-pickup-or-free-ship-on-35?src=frontpage
03/24/20 14:00,Hanes Men's & Women's X-Temp Crew Neck Short Sleeve Shirt,$4.80,$8,Hanes,www.slickdeals.net/f/13933106-hanes-up-to-60-off-sale-kids-comfortblend-ecosmart-crewneck-tee-various-3-20-men-s-women-s-x-temp-crew-neck-s-s-shirt-various-4-80-more-free-s-h?src=frontpage
03/24/20 14:00,Sephora Sale: KVD Vegan Beauty Alchemist Holographic Palette,$10,$32,Sephora,www.slickdeals.net/f/13933091-free-shipping-at-sephora-even-sale-items-kvd-vegan-beauty-alchemist-holographic-palette-10-free-s-h?src=frontpage
03/24/20 14:00,"Biddeford Heated MicroPlush Blanket: King $23, Queen $18, Twin",$11.25,$100,JCPenney,www.slickdeals.net/f/13935743-biddeford-heated-microplush-blanket-king-23-queen-18-twin-11-25-more-free-s-h-w-orders-49?src=frontpage
03/24/20 14:00,New Balance Men's Fresh Foam Roav Knit Running Shoes (Black/Fog),$32,$80,Olympia Sports,www.slickdeals.net/f/13935176-new-balance-men-s-fresh-foam-roav-knit-32-free-shipping?src=frontpage
03/24/20 14:00,Pokemon Go: In-Store Game Bundle Purchases: 100x Poke Balls or 30x Incense,1 PokeCoin,,Apple iTunes,www.slickdeals.net/f/13935149-pokemon-go-in-store-game-bundle-purchases-100x-poke-balls-or-30x-incense-1-pokecoin-ios-android-or-samsung-app?src=frontpage
03/24/20 14:00,32 Degrees Men's Midweight Cloudfill Puffer Jacket,$20,$100,32 Degrees,www.slickdeals.net/f/13932131-32-degrees-men-s-midweight-cloudfill-puffer-jacket-20-women-s-cozy-fleece-full-zip-hoodie-15-more-free-shipping?src=frontpage
03/24/20 14:00,"Anime Collection Blu-rays: Sakura Wars, He is My Master, Hinako, Yamishibai",$10 each,,Best Buy,www.slickdeals.net/f/13934804-anime-collections-blu-ray-sakura-wars-he-is-my-master-hinako-initial-d-royal-space-force-diabolik-lovers-for-10?src=frontpage
03/24/20 14:00,B1G1 Free Select Vitamin/Supplements: 100-Count Sundown Valerian Root Capsules,2 for $3.95,$10,Amazon,www.slickdeals.net/f/13933430-b1g1-free-select-vitamin-supplements-100-count-sundown-valerian-root-capsules-2-for-3-95-more-free-s-h?src=frontpage
03/24/20 14:00,Eagle Creek Men's or Women's Wayfinder 20L Backpack,$38.75,$79,REI,www.slickdeals.net/f/13924331-eagle-creek-men-s-or-women-s-wayfinder-20l-backpack-various-colors-38-75-more-free-shipping?src=frontpage
03/24/20 14:00,Sony WF-1000XM3 Wireless In-Ear Earphones + 20000mAh Battery Pack,$198,$228,Adorama,www.slickdeals.net/f/13935272-sony-wf-1000xm3-wireless-in-ear-earphones-20000mah-battery-pack-198-free-shipping?src=frontpage
03/24/20 14:00,Olive Garden Meal Special: Buy One Meal & Take One Entree Home for Free,From $13,,Olive Garden,www.slickdeals.net/f/13934711-olive-garden-bogo-select-entrees-12-99?src=frontpage
03/24/20 14:00,Days Gone (PS4),$20,$60,Walmart,www.slickdeals.net/f/13931075-playstation-4-ps4-days-gone-at-walmart-for-19-99?src=frontpage
03/24/20 14:00,Black+Decker 20-Volt Lithium-Ion Cordless Drill-Driver w/ 128-Piece Project Kit,$70,$110,Walmart,www.slickdeals.net/f/13929887-black-decker-20-volt-lithium-ion-cordless-drill-driver-w-128-piece-project-kit-70-free-shipping?src=frontpage
03/24/20 14:00,Vera Bradley 30% Off Outlet: Women's Hoodie $14.35 Collegiate Zip ID w/ Lanyard,$7,,Vera Bradley,www.slickdeals.net/f/13933220-vera-bradley-30-off-outlet-collegiate-zip-id-w-lanyard-7-women-s-harper-racer-back-tank-5-95-river-hoodie-14-35-more-free-s-h?src=frontpage
03/24/20 14:00,42-Piece Rubbermaid Press & Lock Easy Find Lids Food Storage Containers,$18,$40,Walmart,www.slickdeals.net/f/13934765-42-piece-rubbermaid-press-lock-easy-find-lids-food-storage-containers-17-99-free-store-pickup-at-walmart?src=frontpage
03/24/20 14:00,50-Ct. 16-Oz. Perk Plastic Cold Cups (Red,$3,$10,Staples,www.slickdeals.net/f/13934933-50-ct-perk-party-16-oz-plastic-cups-red-3-free-shipping?src=frontpage
03/24/20 14:00,Heads Up! (iOS or Android App),Free,$1,Apple iTunes,www.slickdeals.net/f/13935137-heads-up-app-game-free-ios-and-google-play?src=frontpage
03/24/20 14:00,"$50 Outback, Carrabba’s, or Bonefish Grill eGift Card + $20 Bonus Card",$50,$70,Outback Steakhouse,www.slickdeals.net/f/13932335-buy-50-outback-gift-card-get-20-bonus-e-card?src=frontpage
03/24/20 14:00,"Linux eBook Bundles w/ Wiley: 17 eBook Bundle $15, 5 eBook Bundle",$1,,Fanatical,www.slickdeals.net/f/13934516-fanatical-linux-bundle-with-wiley-starting-at-1?src=frontpage
03/24/20 14:00,Chase Sapphire Reserve/Preferred Cardholders: 2-Years DashPass Membership,Free,,DoorDash,www.slickdeals.net/f/13782533-chase-sapphire-reserve-preferred-cardholders-2-years-dashpass-membership-free?src=frontpage
03/24/20 14:00,6.6-Lbs Myprotein Impact Whey Protein (Chocolate Stevia or Vanilla Stevia),$30,$90,Myprotein,www.slickdeals.net/f/13934279-3-x-2-2lbs-impact-whey-protein-stevia-flavors-free-shipping-30?src=frontpage
