date,item_link,item_oldprice,item_price,item_site,item_title
2020-03-22,www.slickdeals.net/f/13931951-24-pack-8-4oz-izze-fortified-sparkling-juice-4-flavor-variety-pack-9-25-w-s-s-free-s-h?src=frontpage,$14,$9.25,Amazon,24-Pack 8.4oz IZZE Fortified Sparkling Juice (4-Flavor Variety Pack)
2020-03-22,www.slickdeals.net/f/13931993-1500-piece-lego-classic-bricks-and-animals-set-34-76-free-store-pickup-at-walmart-or-free-s-h-on-35?src=frontpage,$60,$34.75,Walmart,1500-Piece LEGO Classic Bricks and Animals Set
2020-03-22,www.slickdeals.net/f/13929815-barnes-noble-craft-kits-star-wars-master-paper-kit-disney-frozen-crochet-kit-zen-instant-art-kit-more-10-each-f-s-w-35?src=frontpage,$25,$10 Each,Barnes & Noble,Kids Crafts & Building Books: Star Wars Paper Kit or Disney Frozen Crochet Kit
2020-03-22,www.slickdeals.net/f/13931705-3-pack-scotch-brite-stainless-steel-scrubbers-1-76-fs-prime-possibly-get-1-50-digital-credit-for-slow-ship?src=frontpage,,$1.75,Amazon,3-Pack Scotch-Brite Stainless Steel Scrubbers
2020-03-22,www.slickdeals.net/f/13930802-vizio-55-led-4k-ultra-hd-hdr-smart-tv-v-series-v555-g1-125-gc-dell-340?src=frontpage,$575,$340,Dell Home & Office,"55"" Vizio V555-G1 4K UHD HDR LED Smart TV + $125 Dell eGift Card"
2020-03-22,www.slickdeals.net/f/13930379-logitech-g613-wireless-mechanical-gaming-keyboard-newegg-60?src=frontpage,$150,$60,Newegg,Logitech G613 Wireless Mechanical Gaming Keyboard
2020-03-22,www.slickdeals.net/f/13930925-mount-blade-ii-2-bannerlord-pc-pre-order-37-49?src=frontpage,$50,$37.50,CDKeys,Mount & Blade II 2: Bannerlord Pre-Order (PC Digital Download)
2020-03-22,www.slickdeals.net/f/13929638-fossil-men-s-forrester-three-hand-luggage-leather-watch-34-65-more-free-s-h?src=frontpage,$99,$34.65,Fossil,Fossil: Men's Forrester Three Hand Luggage Leather Watch
2020-03-22,www.slickdeals.net/f/13931525-smoko-ambient-lights-avocado-toast-sushi-more-5-50-smoko-haru-tuna-sushi-ambient-light-4-43-free-shipping-on-35?src=frontpage,$16,$4.45,Walmart,"Smoko Ambient Lights (Avocado, Toast, Shrimp Sushi or Shiba Inu) $5.50, Tuna Sushi"
2020-03-22,www.slickdeals.net/f/13929308-nautica-sitewide-savings-15-off-60-off-free-s-h-on-50?src=frontpage,,60% Off,Nautica,Nautica Sitewide Savings: 15% Off +
2020-03-22,www.slickdeals.net/f/13931045-samsung-galaxy-note-10-plus-256gb-aura-black-unlocked-verizon-sm-n975u-new-open-box-for-579-00-fs?src=frontpage,$1150,$580,eBay,"256GB Samsung Galaxy Note 10+ Unlocked Verizon Smartphone (New, Open Box)"
2020-03-22,www.slickdeals.net/f/13929707-ableton-music-production-7-course-mastery-bundle-lifetime-access-17-40?src=frontpage,$29,$17.40,StackSocial,Ableton Music Production 7-Course Mastery Bundle (Lifetime Access)
2020-03-22,www.slickdeals.net/f/13930415-2-pack-tek-gear-men-s-acrylic-knit-hats-4-20-free-shipping-kohl-s-cardholders?src=frontpage,$20,$4.20,Kohl's,Kohl's Cardholders: 2-Pack Tek Gear Men's Acrylic Knit Hats
2020-03-22,www.slickdeals.net/f/13923344-my-playhome-ios-android-app-free-itunes-google-play?src=frontpage,$1,Free,Google Play,My PlayHome (Android or iOS App)
2020-03-22,www.slickdeals.net/f/13929140-just-cause-4-dlc-5-99-cdkeys-pc-steam?src=frontpage,$56,$6,CDKeys,Just Cause 4 + Deathstalker Scorpion Pack DLC (PC Digital Download)
2020-03-22,www.slickdeals.net/f/13931186-stephen-king-s-the-stand-mini-series-at-vudu-sd-only-5?src=frontpage,,$5,VUDU,Stephen King's The Stand: Mini-Series (Digital SD)
2020-03-22,www.slickdeals.net/f/13930901-adidas-men-s-senseboost-go-winter-running-shoes-45-free-shipping?src=frontpage,$120,$45,Finish Line,adidas Men's Senseboost Go Winter Running Shoes
2020-03-22,www.slickdeals.net/f/13929179-1-month-showtime-streaming-service-trial-free-new-customers-only?src=frontpage,,Free,SHOWTIME,1-Month Showtime Streaming Service Trial
